@RELATION PREDICCION 

@ATTRIBUTE local {real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,celta-vigo,leganes,valencia,villarreal,alaves,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis}
@ATTRIBUTE visitante{real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,leganes,celta-vigo,valencia,alaves,villarreal,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis}
@ATTRIBUTE NN real 
@ATTRIBUTE VB real 
@ATTRIBUTE ADJ real 
@ATTRIBUTE resultado {1,x,2} 

@data 
getafe,leganes,0.34969324,0.10429448,0.2208589,x
getafe,leganes,0.37349397,0.14457831,0.25301206,x
espanyol,barcelona,0.33516484,0.18131869,0.21428572,x
espanyol,barcelona,0.36893204,0.3106796,0.19417475,x
espanyol,barcelona,0.3576159,0.23841059,0.18543047,x
girona,athletic-bilbao,0.3529412,0.15126051,0.24369748,1
girona,athletic-bilbao,0.5,0.06338028,0.12676056,1
girona,athletic-bilbao,0.3586207,0.11724138,0.2137931,1
atletico-madrid,valencia,0.44117647,0.1764706,0.23529412,1
atletico-madrid,valencia,0.4876033,0.23966943,0.14876033,1
atletico-madrid,valencia,0.37864077,0.16504854,0.20873787,1
eibar,sevilla,0.32786885,0.19672132,0.37704918,1
eibar,sevilla,0.4512195,0.25609756,0.17073171,1
eibar,sevilla,0.44444445,0.13043478,0.11594203,1
real-betis,villarreal,0.33112583,0.17218544,0.25165564,1
real-betis,villarreal,0.41269842,0.22222222,0.15873016,1
real-betis,villarreal,0.45333335,0.18666667,0.24,1
alaves,celta-vigo,0.4625,0.275,0.075,1
alaves,celta-vigo,0.32258064,0.22580644,0.24731183,1
alaves,celta-vigo,0.40131578,0.14473684,0.17105263,1
levante,real-madrid,0.39473686,0.25263157,0.17894737,x
levante,real-madrid,0.39751554,0.08695652,0.13664596,x
levante,real-madrid,0.41791046,0.2835821,0.08955224,x
real-sociedad,deportivo-la-coruna,0.33650795,0.2952381,0.18095239,1
real-sociedad,deportivo-la-coruna,0.32673267,0.2970297,0.20792079,1
real-sociedad,deportivo-la-coruna,0.4,0.25,0.075,1
deportivo-la-coruna,real-betis,0.37931034,0.1724138,0.1724138,2
deportivo-la-coruna,real-betis,0.42857143,0.07936508,0.20634921,2
deportivo-la-coruna,real-betis,0.40425533,0.21276596,0.14893617,2
sevilla,girona,0.45502645,0.2010582,0.16402116,1
sevilla,girona,0.44155845,0.14285715,0.19480519,1
sevilla,girona,0.4074074,0.34567901,0.09876543,1
barcelona,getafe,0.39285713,0.16666667,0.17857143,x
barcelona,getafe,0.32051283,0.2820513,0.21794872,x
barcelona,getafe,0.37777779,0.10555556,0.19444445,x
celta-vigo,espanyol,0.436,0.228,0.18,x
celta-vigo,espanyol,0.453125,0.0546875,0.203125,x
celta-vigo,espanyol,0.4032258,0.12096774,0.21774194,x
valencia,levante,0.38333333,0.20833333,0.25,1
valencia,levante,0.36036035,0.23423423,0.21621622,1
valencia,levante,0.4964029,0.0647482,0.16546762,1
villarreal,alaves,0.4117647,0.15686275,0.15686275,2
villarreal,alaves,0.40944883,0.08661418,0.18110237,2
villarreal,alaves,0.35971224,0.28057554,0.15827338,2
malaga,atletico-madrid,0.4,0.083333336,0.26666668,2
malaga,atletico-madrid,0.33333334,0.18115942,0.08695652,2
malaga,atletico-madrid,0.3961039,0.3051948,0.14285715,2
leganes,eibar,0.43137255,0.22222222,0.19607843,2
leganes,eibar,0.44705883,0.21176471,0.09411765,2
leganes,eibar,0.36190477,0.14285715,0.20952381,2
real-madrid,real-sociedad,0.4491018,0.24550898,0.19161677,1
real-madrid,real-sociedad,0.3783784,0.1891892,0.27027026,1
real-madrid,real-sociedad,0.36,0.18,0.22,1
athletic-bilbao,las-palmas,0.45454547,0.22727273,0.22727273,x
athletic-bilbao,las-palmas,0.4680851,0.31914893,0.10638298,x
athletic-bilbao,las-palmas,0.47727272,0.27272728,0.13636364,x
real-sociedad,levante,0.47668394,0.119170986,0.19689119,1
real-sociedad,levante,0.36065573,0.25409836,0.17213115,1
real-sociedad,levante,0.42753622,0.2536232,0.1594203,1
atletico-madrid,athletic-bilbao,0.32222223,0.25555557,0.13333334,1
atletico-madrid,athletic-bilbao,0.33673468,0.35714287,0.13265306,1
atletico-madrid,athletic-bilbao,0.53424656,0.23287672,0.10958904,1
espanyol,villarreal,0.48101267,0.2278481,0.1392405,x
espanyol,villarreal,0.39869282,0.08496732,0.20261438,x
espanyol,villarreal,0.37313432,0.20895523,0.23880596,x
real-betis,real-madrid,0.4654088,0.1572327,0.17610063,2
real-betis,real-madrid,0.48076922,0.32692307,0.07692308,2
real-betis,real-madrid,0.40350878,0.33333334,0.1754386,2
las-palmas,sevilla,0.37967914,0.19251336,0.21925133,2
las-palmas,sevilla,0.39175257,0.2783505,0.17525773,2
las-palmas,sevilla,0.43283582,0.26865673,0.2238806,2
eibar,barcelona,0.7647059,0.10294118,0.073529415,2
eibar,barcelona,0.421875,0.234375,0.18229167,2
eibar,barcelona,0.41,0.23,0.14,2
alaves,deportivo-la-coruna,0.38053098,0.24778761,0.14159292,1
alaves,deportivo-la-coruna,0.42028984,0.13043478,0.2173913,1
alaves,deportivo-la-coruna,0.46231157,0.17085427,0.09045226,1
malaga,valencia,0.44375,0.1375,0.15625,2
malaga,valencia,0.37078652,0.21348314,0.23595506,2
malaga,valencia,0.3275862,0.25862068,0.2413793,2
girona,leganes,0.3119266,0.123853214,0.1146789,1
girona,leganes,0.42201835,0.20183486,0.16513762,1
girona,leganes,0.36645964,0.1552795,0.2173913,1
levante,real-betis,0.43125,0.25625,0.20625,2
levante,real-betis,0.38181818,0.16363636,0.2090909,2
levante,real-betis,0.525,0.05,0.15,2
villarreal,getafe,0.3409091,0.25,0.18181819,1
villarreal,getafe,0.38636363,0.24431819,0.1534091,1
villarreal,getafe,0.40229884,0.03448276,0.13793103,1
athletic-bilbao,malaga,0.35159817,0.1324201,0.2283105,1
athletic-bilbao,malaga,0.4509804,0.19607843,0.21568628,1
athletic-bilbao,malaga,0.38235295,0.16176471,0.20588236,1
valencia,real-sociedad,0.41666666,0.20833333,0.1875,1
valencia,real-sociedad,0.30666667,0.26666668,0.18666667,1
valencia,real-sociedad,0.37209302,0.22093023,0.25581396,1
sevilla,atletico-madrid,0.4509804,0.23529412,0.21568628,2
sevilla,atletico-madrid,0.49315068,0.2739726,0.09589041,2
sevilla,atletico-madrid,0.43333334,0.16333333,0.18,2
celta-vigo,eibar,0.3580247,0.16049382,0.25925925,1
celta-vigo,eibar,0.49473685,0.22105263,0.15789473,1
celta-vigo,eibar,0.35526314,0.17105263,0.20526315,1
real-madrid,alaves,0.41666666,0.14583333,0.16666667,1
real-madrid,alaves,0.46226415,0.0754717,0.11320755,1
real-madrid,alaves,0.42016807,0.22689076,0.20168068,1
leganes,las-palmas,0.44954127,0.04587156,0.20183486,x
leganes,las-palmas,0.27272728,0.27272728,0.24242425,x
leganes,las-palmas,0.28235295,0.12941177,0.105882354,x
barcelona,girona,0.37748346,0.26490065,0.14569536,1
barcelona,girona,0.42168674,0.24096386,0.18674698,1
barcelona,girona,0.4520548,0.23287672,0.21917808,1
deportivo-la-coruna,espanyol,0.3523316,0.13989638,0.15544042,x
deportivo-la-coruna,espanyol,0.44230768,0.07692308,0.09615385,x
deportivo-la-coruna,espanyol,0.30769232,0.25384617,0.12307692,x
real-betis,real-sociedad,0.33962265,0.0990566,0.14150943,x
real-betis,real-sociedad,0.44680852,0.089361705,0.18723404,x
real-betis,real-sociedad,0.34545454,0.21818182,0.23636363,x
las-palmas,barcelona,0.42528737,0.1954023,0.17816092,x
las-palmas,barcelona,0.4642857,0.1904762,0.17857143,x
las-palmas,barcelona,0.36363637,0.16363636,0.19090909,x
alaves,levante,0.39252338,0.22429906,0.14018692,1
alaves,levante,0.43589744,0.16666667,0.23076923,1
alaves,levante,0.38857144,0.20571429,0.14857143,1
